domain,keyword,province_name,job_title,company,location,salary,min_salary,max_salary,posted_date,job_url,matched_skills,matched_skill_count,skill_python,skill_r,skill_java,skill_scala,skill_c++,skill_sql & database,skill_mongodb,skill_elasticsearch,skill_pandas,skill_numpy,skill_scipy,skill_sklearn,skill_machine_learning,skill_deep_learning,skill_llm,skill_rag,skill_langchain,skill_openai,skill_huggingface,skill_prompt_engineering,skill_vector_db,skill_excel,skill_powerbi,skill_tableau,skill_matplotlib,skill_seaborn,skill_plotly,skill_spark,skill_hadoop,skill_kafka,skill_aws,skill_gcp,skill_azure,skill_etl,skill_airflow,skill_docker,skill_kubernetes,skill_mlflow,skill_fastapi,skill_flask,skill_streamlit,skill_statistics,skill_git,skill_api,skill_linux
JOBBKK,Data Scientist,กรุงเทพมหานคร,Data Scientist,บริษัท จี.เอ็ม.เอส.คอร์เปอเรชั่น จำกัด,กรุงเทพมหานคร เขตยานนาวา,"25,000 - 30,000 บาท",25000.0,30000.0,02/19/2026,https://jobbkk.com/jobs/detailurgent/177407/1337853,python|r|sql & database|machine_learning|powerbi|tableau,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOBBKK,Data Scientist,กรุงเทพมหานคร,Data Scientist (AI),บริษัท ไฮไทป์ (ประเทศไทย) จำกัด,กรุงเทพมหานคร ทุกเขต,"35,000 - 60,000 บาท",35000.0,60000.0,02/16/2026,https://jobbkk.com/jobs/detailurgent/235566/1354131,python|sql & database|pandas|numpy|sklearn|llm|git,7,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,Data Scientist,"CPF IT CENTER CO., LTD.",กรุงเทพมหานคร,,,,02/19/2026,https://th.jobsdb.com/th/job/90256135?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|machine_learning|deep_learning|statistics,5,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,Data Scientist,KASIKORNBANK PUBLIC COMPANY LIMITED,กรุงเทพมหานครและปริมณฑล,,,,02/19/2026,https://th.jobsdb.com/th/job/90416020?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|machine_learning|llm|rag,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,(GEM) Data Scientist สัญญาจ้าง (This position is under GEM Company Limited),Bangchak Corporation Public Company Limited,พระโขนง กรุงเทพมหานคร,"฿25,000 – ฿30,000 per month",25000.0,30000.0,02/18/2026,https://th.jobsdb.com/th/job/90384416?type=standard&ref=search-standalone&origin=jobCard,machine_learning|deep_learning,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,"Data Analyst, Data Scientist, Data Engineer",Land and Houses Bank Public Company Limited,สาทร กรุงเทพมหานคร,,,,01/24/2026,https://th.jobsdb.com/th/job/89901519?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|pandas|machine_learning|llm|excel|powerbi|tableau|etl|airflow|statistics,11,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,"Lead Data Scientist (Retail & Wholesale, AI Initiatives)",Lotus's,บึงกุ่ม กรุงเทพมหานคร,,,,02/19/2026,https://th.jobsdb.com/th/job/90400379?type=standard&ref=search-standalone&origin=jobCard,python|r|sql & database|sklearn|machine_learning|rag|langchain|powerbi|tableau|spark|hadoop|aws|gcp|azure|statistics,15,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,Data Scientist (Accounting & Finance),Charoen Pokphand Foods Public Company Limited,สาทร กรุงเทพมหานคร,,,,02/12/2026,https://th.jobsdb.com/th/job/90283308?type=standard&ref=search-standalone&origin=jobCard,python|r|sql & database|machine_learning|powerbi|tableau|statistics,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,ระยอง,Data Scientist,UBE Chemicals (Asia) PCL.,เมืองระยอง ระยอง,"฿28,000 – ฿42,000 per month",28000.0,42000.0,01/29/2026,https://th.jobsdb.com/th/job/89979654?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|sklearn|machine_learning|spark|statistics,6,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,Data Scientist & Analytics,Central Retail Corporation Public Company Limited,กรุงเทพมหานคร,,,,02/06/2026,https://th.jobsdb.com/th/job/90161264?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|excel|powerbi|tableau|spark|hadoop|aws|azure|statistics,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
