keyword,province_code,province_name,page,job_title,company,location,salary,posted_date,job_url,raw_text
Data Scientist,01,กรุงเทพมหานคร,1,Data Scientist,"Digital Dialogue Co., Ltd.","MRT พระราม 9, ศูนย์วัฒนธรรมแห่งประเทศไทย",ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1685397,"Data Scientist Digital Dialogue Co., Ltd. Digital Dialogue Co., Ltd. MRT พระราม 9, ศูนย์วัฒนธรรมแห่งประเทศไทย ตามโครงสร้างบริษัทฯ 16 ก.พ. 69"
Data Scientist,01,กรุงเทพมหานคร,1,Data Scientist,บริษัท จี.เอ็ม.เอส. คอร์เปอเรชั่น จำกัด,เขตยานนาวา กรุงเทพมหานคร,"25,000 - 30,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1822474,"Data Scientist บริษัท จี.เอ็ม.เอส. คอร์เปอเรชั่น จำกัด บริษัท จี.เอ็ม.เอส. คอร์เปอเรชั่น จำกัด เขตยานนาวา กรุงเทพมหานคร 25,000 - 30,000 บาท 16 ก.พ. 69"
Data Scientist,28,จ.ปทุมธานี,1,Data Scientist,บริษัท ดูโฮม จำกัด (มหาชน),อ.เมืองปทุมธานี จ.ปทุมธานี,ตามโครงสร้างบริษัท/ประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1533922,Data Scientist บริษัท ดูโฮม จำกัด (มหาชน) บริษัท ดูโฮม จำกัด (มหาชน) รับสมัครด่วน อ.เมืองปทุมธานี จ.ปทุมธานี ตามโครงสร้างบริษัท/ประสบการณ์ สัมภาษณ์งานออนไลน์ 16 ก.พ. 69
Data Scientist,01,กรุงเทพมหานคร,1,Specialist - DATA Scientist,บริษัท เคซีจี คอร์ปอเรชั่น จำกัด (มหาชน) / KCG Corporation Public Company Limited,"BTS บางจาก, ปุณณวิถี",ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1848401,"Specialist - DATA Scientist บริษัท เคซีจี คอร์ปอเรชั่น จำกัด (มหาชน) / KCG Corporation Public Company Limited บริษัท เคซีจี คอร์ปอเรชั่น จำกัด (มหาชน) / KCG Corporation Public Company Limited BTS บางจาก, ปุณณวิถี ตามโครงสร้างบริษัทฯ สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,01,กรุงเทพมหานคร,1,Data Scientist – AI & Research,"Lief Capital Asset Management Co., Ltd.",เขตคลองสาน กรุงเทพมหานคร,ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1584351,"Data Scientist – AI & Research Lief Capital Asset Management Co., Ltd. Lief Capital Asset Management Co., Ltd. รับสมัครด่วน เขตคลองสาน กรุงเทพมหานคร ตามโครงสร้างบริษัทฯ 16 ก.พ. 69"
Data Scientist,01,กรุงเทพมหานคร,1,Data Scientist - WFH 95% + Office 5%,"THiNKNET Co., Ltd.","BTS ช่องนนทรี, ศาลาแดง","25,000 - 70,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1439476,"Data Scientist - WFH 95% + Office 5% THiNKNET Co., Ltd. THiNKNET Co., Ltd. BTS ช่องนนทรี, ศาลาแดง MRT สีลม BRT สาทร 25,000 - 70,000 บาท Hybrid Work สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,01,กรุงเทพมหานคร,1,AI & Data Science Specialist,"บริษัท ทีคิวเอ็ม อินชัวร์รันส์ โบรคเกอร์ จำกัด, TQM",เขตลาดพร้าว กรุงเทพมหานคร,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1680356,"AI & Data Science Specialist บริษัท ทีคิวเอ็ม อินชัวร์รันส์ โบรคเกอร์ จำกัด, TQM บริษัท ทีคิวเอ็ม อินชัวร์รันส์ โบรคเกอร์ จำกัด, TQM เขตลาดพร้าว กรุงเทพมหานคร ตามประสบการณ์ Hybrid Work สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
