keyword,page,job_title,company,location,salary,posted_date,job_url,raw_text
Data Scientist,1,Data Scientist,บริษัท จี.เอ็ม.เอส. คอร์เปอเรชั่น จำกัด,เขตยานนาวา กรุงเทพมหานคร,"25,000 - 30,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1822474,"Data Scientist บริษัท จี.เอ็ม.เอส. คอร์เปอเรชั่น จำกัด บริษัท จี.เอ็ม.เอส. คอร์เปอเรชั่น จำกัด เขตยานนาวา กรุงเทพมหานคร 25,000 - 30,000 บาท 16 ก.พ. 69"
Data Scientist,1,Data Scientist,"Digital Dialogue Co., Ltd.",,ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1685397,"Data Scientist Digital Dialogue Co., Ltd. Digital Dialogue Co., Ltd. MRT พระราม 9, ศูนย์วัฒนธรรมแห่งประเทศไทย ตามโครงสร้างบริษัทฯ 16 ก.พ. 69"
Data Scientist,1,Specialist - DATA Scientist,บริษัท เคซีจี คอร์ปอเรชั่น จำกัด (มหาชน) / KCG Corporation Public Company Limited,,ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1848401,"Specialist - DATA Scientist บริษัท เคซีจี คอร์ปอเรชั่น จำกัด (มหาชน) / KCG Corporation Public Company Limited บริษัท เคซีจี คอร์ปอเรชั่น จำกัด (มหาชน) / KCG Corporation Public Company Limited BTS บางจาก, ปุณณวิถี ตามโครงสร้างบริษัทฯ สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,1,Data Scientist – AI & Research,"Lief Capital Asset Management Co., Ltd.",เขตคลองสาน กรุงเทพมหานคร,ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1584351,"Data Scientist – AI & Research Lief Capital Asset Management Co., Ltd. Lief Capital Asset Management Co., Ltd. รับสมัครด่วน เขตคลองสาน กรุงเทพมหานคร ตามโครงสร้างบริษัทฯ 16 ก.พ. 69"
Data Scientist,1,Data Scientist - WFH 95% + Office 5%,"THiNKNET Co., Ltd.",,"25,000 - 70,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1439476,"Data Scientist - WFH 95% + Office 5% THiNKNET Co., Ltd. THiNKNET Co., Ltd. BTS ช่องนนทรี, ศาลาแดง MRT สีลม BRT สาทร 25,000 - 70,000 บาท Hybrid Work สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,1,Data Engineer (Contractor),"The Prodigy (Thailand) Co., Ltd.",เขตพญาไท กรุงเทพมหานคร,"25,000 - 35,000 บาท",9 ก.พ. 69,https://www.jobthai.com/th/company/job/1821205,"Data Engineer (Contractor) The Prodigy (Thailand) Co., Ltd. The Prodigy (Thailand) Co., Ltd. เขตพญาไท กรุงเทพมหานคร 25,000 - 35,000 บาท สัมภาษณ์งานออนไลน์ 9 ก.พ. 69"
Data Scientist,1,Data Analyst,บริษัท ซาบีน่า จำกัด (มหาชน),เขตบางกอกน้อย กรุงเทพมหานคร,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1862880,Data Analyst บริษัท ซาบีน่า จำกัด (มหาชน) บริษัท ซาบีน่า จำกัด (มหาชน) เขตบางกอกน้อย กรุงเทพมหานคร ตามตกลง Hybrid Work สัมภาษณ์งานออนไลน์ 16 ก.พ. 69
Data Scientist,1,Network Engineer,OxygenAI (บริษัท ออมนิ ดีล จำกัด),,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1815773,"Network Engineer 16 ก.พ. 69 OxygenAI (บริษัท ออมนิ ดีล จำกัด) OxygenAI (บริษัท ออมนิ ดีล จำกัด) BTS ชิดลม, เพลินจิต ตามตกลง"
Data Scientist,1,Data Analyst,บริษัท ชับบ์สามัคคีประกันภัย จำกัด (มหาชน),เขตหลักสี่ กรุงเทพมหานคร,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1824648,Data Analyst บริษัท ชับบ์สามัคคีประกันภัย จำกัด (มหาชน) บริษัท ชับบ์สามัคคีประกันภัย จำกัด (มหาชน) เขตหลักสี่ กรุงเทพมหานคร ตามตกลง 16 ก.พ. 69
Data Scientist,1,Business Intelligence (BI) Analyst,"Sasom Co., Ltd.",เขตพระโขนง กรุงเทพมหานคร,"30,000 - 35,000 บาท",13 ก.พ. 69,https://www.jobthai.com/th/company/job/1842618,"Business Intelligence (BI) Analyst Sasom Co., Ltd. Sasom Co., Ltd. รับสมัครด่วน เขตพระโขนง กรุงเทพมหานคร 30,000 - 35,000 บาท Hybrid Work สัมภาษณ์งานออนไลน์ 13 ก.พ. 69"
Data Scientist,1,AI & Data Science Specialist,"บริษัท ทีคิวเอ็ม อินชัวร์รันส์ โบรคเกอร์ จำกัด, TQM",เขตลาดพร้าว กรุงเทพมหานคร,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1680356,"AI & Data Science Specialist บริษัท ทีคิวเอ็ม อินชัวร์รันส์ โบรคเกอร์ จำกัด, TQM บริษัท ทีคิวเอ็ม อินชัวร์รันส์ โบรคเกอร์ จำกัด, TQM เขตลาดพร้าว กรุงเทพมหานคร ตามประสบการณ์ Hybrid Work สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,1,Project Management Officer (Data Analyst),"Evolt Technology Co., Ltd.",,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1797746,"Project Management Officer (Data Analyst) Evolt Technology Co., Ltd. Evolt Technology Co., Ltd. MRT สามย่าน ตามตกลง สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,1,Business Analyst,บริษัท สหมิตรถังแก๊ส จำกัด (มหาชน),เขตบางขุนเทียน กรุงเทพมหานคร,ตามโครงสร้างบริษัทฯ,14 ก.พ. 69,https://www.jobthai.com/th/company/job/1652540,Business Analyst บริษัท สหมิตรถังแก๊ส จำกัด (มหาชน) บริษัท สหมิตรถังแก๊ส จำกัด (มหาชน) รับสมัครด่วน เขตบางขุนเทียน กรุงเทพมหานคร ตามโครงสร้างบริษัทฯ 14 ก.พ. 69
Data Scientist,1,Data Engineer / ETL Developer,"Double P Enterprise Co., Ltd.",เขตห้วยขวาง กรุงเทพมหานคร,ตามประสบการณ์,12 ก.พ. 69,https://www.jobthai.com/th/company/job/932223,"Data Engineer / ETL Developer Double P Enterprise Co., Ltd. Double P Enterprise Co., Ltd. เขตห้วยขวาง กรุงเทพมหานคร ตามประสบการณ์ สัมภาษณ์งานออนไลน์ 12 ก.พ. 69"
Data Scientist,1,Performance Management & Data Analytic (Call Center),ธนาคารแลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),เขตสาทร กรุงเทพมหานคร,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1866542,Performance Management & Data Analytic (Call Center) ธนาคารแลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน) ธนาคารแลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน) เขตสาทร กรุงเทพมหานคร ตามประสบการณ์ สัมภาษณ์งานออนไลน์ 16 ก.พ. 69
