keyword,page,job_title,company,location,salary,posted_date,job_url,raw_text
Data Scientist,1,Data Analyst - BNG,บริษัท เบญจจินดา โฮลดิ้ง จำกัด,,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1858004,Data Analyst - BNG บริษัท เบญจจินดา โฮลดิ้ง จำกัด บริษัท เบญจจินดา โฮลดิ้ง จำกัด SRT บางเขน ตามประสบการณ์ 16 ก.พ. 69
Data Scientist,1,Strategy & Pricing - TMS Rate Management - Associate,"Inteluck (Thailand) Co., Ltd.",เขตดินแดง กรุงเทพมหานคร,ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1865255,"Strategy & Pricing - TMS Rate Management - Associate Inteluck (Thailand) Co., Ltd. Inteluck (Thailand) Co., Ltd. Urgently Required เขตดินแดง กรุงเทพมหานคร ตามโครงสร้างบริษัทฯ สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,1,"Data Team Lead (ดู Data Analyst, Data Enginneer)",บริษัท เบตเทอร์โดส จำกัด ( สำนักงานใหญ่ ),เขตคลองสาน กรุงเทพมหานคร,"70,000 - 120,000 บาท",11 ก.พ. 69,https://www.jobthai.com/th/company/job/1792698,"Data Team Lead (ดู Data Analyst, Data Enginneer) 11 ก.พ. 69 บริษัท เบตเทอร์โดส จำกัด ( สำนักงานใหญ่ ) บริษัท เบตเทอร์โดส จำกัด ( สำนักงานใหญ่ ) เขตคลองสาน กรุงเทพมหานคร 70,000 - 120,000 บาท"
Data Scientist,1,"Full Stack Developer (C#, .Net Core, React, Vue.js)",บริษัท ช็อคโก้ คาร์ด เอ็นเตอร์ไพรส์ จำกัด,,"40,000 - 60,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1672283,"Full Stack Developer (C#, .Net Core, React, Vue.js) บริษัท ช็อคโก้ คาร์ด เอ็นเตอร์ไพรส์ จำกัด บริษัท ช็อคโก้ คาร์ด เอ็นเตอร์ไพรส์ จำกัด BTS บางจาก, ปุณณวิถี 40,000 - 60,000 บาท สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,1,ผู้จัดการฝ่ายวางแผน และวิเคราะห์ข้อมูล (Planning and Data analysis ),บริษัท วีอาร์พี ฟู้ด แอนด์ เบเกอรี่ จำกัด,กรุงเทพมหานคร,"35,000 - 50,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1796412,"ผู้จัดการฝ่ายวางแผน และวิเคราะห์ข้อมูล (Planning and Data analysis ) บริษัท วีอาร์พี ฟู้ด แอนด์ เบเกอรี่ จำกัด บริษัท วีอาร์พี ฟู้ด แอนด์ เบเกอรี่ จำกัด กรุงเทพมหานคร 35,000 - 50,000 บาท สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,2,AI Analyst / AI Developer / AI Tester,QAi Consulting and Services,กรุงเทพมหานคร,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1849827,AI Analyst / AI Developer / AI Tester QAi Consulting and Services QAi Consulting and Services กรุงเทพมหานคร ตามประสบการณ์ 16 ก.พ. 69
Data Scientist,2,Senior Business Analyst (Banking),"Blockfint Co.,Ltd.",เขตบางรัก กรุงเทพมหานคร,ตามตกลง,12 ก.พ. 69,https://www.jobthai.com/th/company/job/1591274,"Senior Business Analyst (Banking) Blockfint Co.,Ltd. Blockfint Co.,Ltd. เขตบางรัก กรุงเทพมหานคร ตามตกลง Hybrid Work สัมภาษณ์งานออนไลน์ 12 ก.พ. 69"
Data Scientist,2,Digital & AI Specialist,บริษัท เลิศภักดี คอนสตรัคชั่น จำกัด,เขตประเวศ กรุงเทพมหานคร,"30,000 - 35,000 บาท",10 ก.พ. 69,https://www.jobthai.com/th/company/job/1804738,"Digital & AI Specialist บริษัท เลิศภักดี คอนสตรัคชั่น จำกัด บริษัท เลิศภักดี คอนสตรัคชั่น จำกัด รับสมัครด่วน เขตประเวศ กรุงเทพมหานคร 30,000 - 35,000 บาท 10 ก.พ. 69"
Data Scientist,2,Digital & AI Solution Engineer,บริษัท เลิศภักดี คอนสตรัคชั่น จำกัด,เขตประเวศ กรุงเทพมหานคร,"35,000 - 40,000 บาท",10 ก.พ. 69,https://www.jobthai.com/th/company/job/1804748,"Digital & AI Solution Engineer บริษัท เลิศภักดี คอนสตรัคชั่น จำกัด บริษัท เลิศภักดี คอนสตรัคชั่น จำกัด รับสมัครด่วน เขตประเวศ กรุงเทพมหานคร 35,000 - 40,000 บาท 10 ก.พ. 69"
Data Scientist,2,ด่วน! ผู้จัดการร้าน (Central พระราม2),"KKV Supply Chain Co., Ltd.",เขตบางขุนเทียน กรุงเทพมหานคร,"40,000 - 60,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1854635,"ด่วน! ผู้จัดการร้าน (Central พระราม2) KKV Supply Chain Co., Ltd. KKV Supply Chain Co., Ltd. เขตบางขุนเทียน กรุงเทพมหานคร 40,000 - 60,000 บาท สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,2,Social Media analyst,บริษัท อเด็คโก้ เพชรบุรีตัดใหม่ จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"80,000 - 90,000 บาท",13 ก.พ. 69,https://www.jobthai.com/th/company/job/1851084,"Social Media analyst บริษัท อเด็คโก้ เพชรบุรีตัดใหม่ จำกัด บริษัท อเด็คโก้ เพชรบุรีตัดใหม่ จำกัด เขตห้วยขวาง กรุงเทพมหานคร 80,000 - 90,000 บาท สัมภาษณ์งานออนไลน์ 13 ก.พ. 69"
Data Scientist,2,AI Engineer,"Super Coconut Co., Ltd.",,"20,000 - 30,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1649781,"AI Engineer Super Coconut Co., Ltd. Super Coconut Co., Ltd. รับสมัครด่วน BTS รัชโยธิน, เสนานิคม 20,000 - 30,000 บาท 16 ก.พ. 69"
Data Scientist,2,Executive Claims Analytics,LMG Insurance Public Company Limited,,ตามโครงสร้างบริษัทฯ,10 ก.พ. 69,https://www.jobthai.com/th/company/job/1840149,Executive Claims Analytics LMG Insurance Public Company Limited LMG Insurance Public Company Limited BTS อโศก MRT สุขุมวิท ตามโครงสร้างบริษัทฯ สัมภาษณ์งานออนไลน์ 10 ก.พ. 69
Data Scientist,2,Java Developer,บริษัท เอพีพี แมเนจเม้นท์ จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"50,000 - 60,000 บาท",11 ก.พ. 69,https://www.jobthai.com/th/company/job/1798055,"Java Developer 11 ก.พ. 69 บริษัท เอพีพี แมเนจเม้นท์ จำกัด บริษัท เอพีพี แมเนจเม้นท์ จำกัด เขตห้วยขวาง กรุงเทพมหานคร 50,000 - 60,000 บาท Hybrid Work สัมภาษณ์งานออนไลน์"
Data Scientist,2,Marketing Executive (Sales Support),บริษัท เอ็น.พี. ฟู้ดส์ เทค (ประเทศไทย) จำกัด,เขตบางคอแหลม กรุงเทพมหานคร,ตามตกลง,12 ก.พ. 69,https://www.jobthai.com/th/company/job/1841198,Marketing Executive (Sales Support) 12 ก.พ. 69 บริษัท เอ็น.พี. ฟู้ดส์ เทค (ประเทศไทย) จำกัด บริษัท เอ็น.พี. ฟู้ดส์ เทค (ประเทศไทย) จำกัด เขตบางคอแหลม กรุงเทพมหานคร ตามตกลง
Data Scientist,2,Supply Chain Management - Senior Level up (Planning Engineer),กลุ่มบริษัทนันยางเท็กซ์ไทล์,เขตหนองแขม กรุงเทพมหานคร,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1829017,Supply Chain Management - Senior Level up (Planning Engineer) กลุ่มบริษัทนันยางเท็กซ์ไทล์ กลุ่มบริษัทนันยางเท็กซ์ไทล์ เขตหนองแขม กรุงเทพมหานคร ตามตกลง สัมภาษณ์งานออนไลน์ 16 ก.พ. 69
Data Scientist,2,(ด่วน!)CustomerService IT Product (English Skill) 21K++ MRT Phra Ram 9,"Transcosmos (Thailand) Co., Ltd.",,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1780880,"(ด่วน!)CustomerService IT Product (English Skill) 21K++ MRT Phra Ram 9 Transcosmos (Thailand) Co., Ltd. Transcosmos (Thailand) Co., Ltd. รับสมัครด่วน MRT พระราม 9, ศูนย์วัฒนธรรมแห่งประเทศไทย ตามประสบการณ์ สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,2,Precision Measurement Technician (Jewelry Components),"RC Jewellery Trading Co., Ltd.",,ตามประสบการณ์,12 ก.พ. 69,https://www.jobthai.com/th/company/job/1861871,"Precision Measurement Technician (Jewelry Components) RC Jewellery Trading Co., Ltd. RC Jewellery Trading Co., Ltd. BRT สะพานพระราม 3 ตามประสบการณ์ 12 ก.พ. 69"
Data Scientist,2,Senior Database Oracle,บริษัท คอม เทรดดิ้ง จำกัด,เขตบางเขน กรุงเทพมหานคร,ตามประสบการณ์,9 ก.พ. 69,https://www.jobthai.com/th/company/job/1820007,Senior Database Oracle บริษัท คอม เทรดดิ้ง จำกัด บริษัท คอม เทรดดิ้ง จำกัด เขตบางเขน กรุงเทพมหานคร ตามประสบการณ์ 9 ก.พ. 69
Data Scientist,2,AI Engineer / ASC,ASCGroup,เขตจตุจักร กรุงเทพมหานคร,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1861120,AI Engineer / ASC ASCGroup ASCGroup Urgently Required เขตจตุจักร กรุงเทพมหานคร ตามประสบการณ์ 16 ก.พ. 69
Data Scientist,2,2 อัตรา_Sr.System Analyst (Technical)_เงินเดือน 70k_Onsite MRT สามย่าน,"Lean Advisory co.,ltd.",เขตปทุมวัน กรุงเทพมหานคร,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1709487,"2 อัตรา_Sr.System Analyst (Technical)_เงินเดือน 70k_Onsite MRT สามย่าน 16 ก.พ. 69 Lean Advisory co.,ltd. Lean Advisory co.,ltd. เขตปทุมวัน กรุงเทพมหานคร ตามประสบการณ์ สัมภาษณ์งานออนไลน์"
Data Scientist,2,Domestic Sales,"Arotec (Thailand) Co.,Ltd.",เขตวัฒนา กรุงเทพมหานคร,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1844114,"Domestic Sales 16 ก.พ. 69 Arotec (Thailand) Co.,Ltd. Arotec (Thailand) Co.,Ltd. เขตวัฒนา กรุงเทพมหานคร ตามตกลง"
Data Scientist,2,IT Helpdesk ประจำสาขาหาดใหญ่และสาขากรุงเทพฯ (IBC),กลุ่มบริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),เขตปทุมวัน กรุงเทพมหานคร,ตามโครงสร้างบริษัทฯ,12 ก.พ. 69,https://www.jobthai.com/th/company/job/1704376,IT Helpdesk ประจำสาขาหาดใหญ่และสาขากรุงเทพฯ (IBC) กลุ่มบริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน) กลุ่มบริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน) เขตปทุมวัน กรุงเทพมหานคร ตามโครงสร้างบริษัทฯ สัมภาษณ์งานออนไลน์ 12 ก.พ. 69
Data Scientist,2,Wealth System Specialist,ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน),,ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1795657,"Wealth System Specialist ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน) ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน) BTS ชิดลม, ราชดำริ ตามโครงสร้างบริษัทฯ Hybrid Work สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,2,Personal Assistant (CEO),Vertex Planet Group,,"30,000 - 35,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1602637,"Personal Assistant (CEO) Vertex Planet Group Vertex Planet Group BTS พญาไท, ราชเทวี ARL พญาไท 30,000 - 35,000 บาท สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,3,IT Project Manager,บริษัท ช็อคโก้ คาร์ด เอ็นเตอร์ไพรส์ จำกัด,,"30,000 - 50,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1558658,"IT Project Manager บริษัท ช็อคโก้ คาร์ด เอ็นเตอร์ไพรส์ จำกัด บริษัท ช็อคโก้ คาร์ด เอ็นเตอร์ไพรส์ จำกัด BTS บางจาก, ปุณณวิถี 30,000 - 50,000 บาท สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,3,IT Support,AIS- บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,"30,000 - 50,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1860879,"IT Support AIS- บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน) AIS- บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน) BTS อารีย์ 30,000 - 50,000 บาท 16 ก.พ. 69"
Data Scientist,3,Senior System Analyst (Software Solutions – Government Clients) ประจำสีลม,กลุ่มบริษัท จันวาณิชย์,,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1861035,"Senior System Analyst (Software Solutions – Government Clients) ประจำสีลม กลุ่มบริษัท จันวาณิชย์ กลุ่มบริษัท จันวาณิชย์ BTS ช่องนนทรี, เซนต์หลุยส์ ตามตกลง สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,3,Risk Manager,บริษัท กรุงเทพโสภณ จำกัด (มหาชน),เขตราษฎร์บูรณะ กรุงเทพมหานคร,ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1731711,Risk Manager บริษัท กรุงเทพโสภณ จำกัด (มหาชน) บริษัท กรุงเทพโสภณ จำกัด (มหาชน) เขตราษฎร์บูรณะ กรุงเทพมหานคร ตามโครงสร้างบริษัทฯ 16 ก.พ. 69
Data Scientist,3,Assistant AI Manager,บริษัท เลิศภักดี คอนสตรัคชั่น จำกัด,เขตประเวศ กรุงเทพมหานคร,"40,000 - 45,000 บาท",10 ก.พ. 69,https://www.jobthai.com/th/company/job/1804710,"Assistant AI Manager บริษัท เลิศภักดี คอนสตรัคชั่น จำกัด บริษัท เลิศภักดี คอนสตรัคชั่น จำกัด รับสมัครด่วน เขตประเวศ กรุงเทพมหานคร 40,000 - 45,000 บาท 10 ก.พ. 69"
Data Scientist,3,[Outsource] Strategic Advisor (Career School-แนะแนวน้องเข้ามหาวิทยาลัย),บริษัท เลิร์น คอร์ปอเรชั่น จำกัด (มหาชน),,ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1808016,"[Outsource] Strategic Advisor (Career School-แนะแนวน้องเข้ามหาวิทยาลัย) บริษัท เลิร์น คอร์ปอเรชั่น จำกัด (มหาชน) บริษัท เลิร์น คอร์ปอเรชั่น จำกัด (มหาชน) BTS สนามกีฬาแห่งชาติ, สยาม ตามโครงสร้างบริษัทฯ 16 ก.พ. 69"
Data Scientist,3,Lab assistant (Receptionist),"Guild (Bangkok) Co., LTD.",เขตบางรัก กรุงเทพมหานคร,"18,000 - 25,000 บาท",9 ก.พ. 69,https://www.jobthai.com/th/company/job/1724134,"Lab assistant (Receptionist) Guild (Bangkok) Co., LTD. Guild (Bangkok) Co., LTD. เขตบางรัก กรุงเทพมหานคร 18,000 - 25,000 บาท 9 ก.พ. 69"
Data Scientist,3,Sales Administrative Officer,Bonjour Company Limited,,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1862998,Sales Administrative Officer Bonjour Company Limited Bonjour Company Limited BRT ถนนจันทน์ ตามตกลง 16 ก.พ. 69
Data Scientist,3,HR Recruitment and Development Manager (Fluent English),บริษัท เอ็มเคเอส จิวเวลรี่ อินเตอร์เนชั่นแนล จำกัด,นิคมอุตสาหกรรมอัญธานี กรุงเทพมหานคร,"45,000 - 55,000 บาท",12 ก.พ. 69,https://www.jobthai.com/th/company/job/1663814,"HR Recruitment and Development Manager (Fluent English) บริษัท เอ็มเคเอส จิวเวลรี่ อินเตอร์เนชั่นแนล จำกัด บริษัท เอ็มเคเอส จิวเวลรี่ อินเตอร์เนชั่นแนล จำกัด นิคมอุตสาหกรรมอัญธานี กรุงเทพมหานคร 45,000 - 55,000 บาท 12 ก.พ. 69"
Data Scientist,3,Marketing Executive (Beauty Product),บริษัท ออพติโม พร็อพเพอร์ตี้ จำกัด,เขตสะพานสูง กรุงเทพมหานคร,"28,000 - 35,000 บาท",13 ก.พ. 69,https://www.jobthai.com/th/company/job/1708321,"Marketing Executive (Beauty Product) บริษัท ออพติโม พร็อพเพอร์ตี้ จำกัด บริษัท ออพติโม พร็อพเพอร์ตี้ จำกัด เขตสะพานสูง กรุงเทพมหานคร 28,000 - 35,000 บาท 13 ก.พ. 69"
Data Scientist,3,IT Director,บริษัท ยู อินโฟ จำกัดและบริษัท ยู ดิลิเวอรี่ จำกัด,เขตวังทองหลาง กรุงเทพมหานคร,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1857375,IT Director บริษัท ยู อินโฟ จำกัดและบริษัท ยู ดิลิเวอรี่ จำกัด บริษัท ยู อินโฟ จำกัดและบริษัท ยู ดิลิเวอรี่ จำกัด เขตวังทองหลาง กรุงเทพมหานคร ตามตกลง 16 ก.พ. 69
Data Scientist,3,IT Application (SAP Support),International Beauty Products Ltd.,,ตามโครงสร้างบริษัทฯ,10 ก.พ. 69,https://www.jobthai.com/th/company/job/1767834,IT Application (SAP Support) International Beauty Products Ltd. International Beauty Products Ltd. BTS อโศก MRT สุขุมวิท ตามโครงสร้างบริษัทฯ 10 ก.พ. 69
Data Scientist,3,Sales Executive,บริษัท ที. ฮาเซกาวา (เซาท์อีสท์ เอเชีย) จำกัด,,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1866630,Sales Executive บริษัท ที. ฮาเซกาวา (เซาท์อีสท์ เอเชีย) จำกัด บริษัท ที. ฮาเซกาวา (เซาท์อีสท์ เอเชีย) จำกัด BTS อโศก MRT สุขุมวิท ตามประสบการณ์ 16 ก.พ. 69
Data Scientist,3,Talent Acquisition Specialist (Junior – Senior Level),"Transcosmos (Thailand) Co., Ltd.",กรุงเทพมหานคร,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1863009,"Talent Acquisition Specialist (Junior – Senior Level) Transcosmos (Thailand) Co., Ltd. Transcosmos (Thailand) Co., Ltd. กรุงเทพมหานคร ตามประสบการณ์ สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,3,Operation Executive,บริษัท เรสท์ เอ็น โก (ไทยแลนด์) จำกัด,เขตสวนหลวง กรุงเทพมหานคร,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1856503,Operation Executive บริษัท เรสท์ เอ็น โก (ไทยแลนด์) จำกัด บริษัท เรสท์ เอ็น โก (ไทยแลนด์) จำกัด เขตสวนหลวง กรุงเทพมหานคร ตามตกลง สัมภาษณ์งานออนไลน์ 16 ก.พ. 69
Data Scientist,3,Python Developer ประจำ อาคารพหลโยธินเพลส BTS อารีย์,บริษัท จ๊อบพร้อมท์ จำกัด,,"26,000 - 40,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1859371,"Python Developer ประจำ อาคารพหลโยธินเพลส BTS อารีย์ บริษัท จ๊อบพร้อมท์ จำกัด บริษัท จ๊อบพร้อมท์ จำกัด BTS อารีย์ 26,000 - 40,000 บาท สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Scientist,3,IT Rollout Specialist (Software Tester),"PERSOL HR Services Recruitment (Thailand) Co., Ltd.",เขตบึงกุ่ม กรุงเทพมหานคร,"18,000 - 25,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1824453,"IT Rollout Specialist (Software Tester) PERSOL HR Services Recruitment (Thailand) Co., Ltd. PERSOL HR Services Recruitment (Thailand) Co., Ltd. เขตบึงกุ่ม กรุงเทพมหานคร 18,000 - 25,000 บาท 16 ก.พ. 69"
